Sample,X,Y,Z
455,-0.016,-1.027,-0.152
456,0.062,-0.957,0.008
457,0.020,-0.852,0.066
458,0.004,-0.871,0.098
459,-0.027,-0.949,0.055
460,0.008,-0.961,-0.008
461,0.008,-0.930,0.082
462,-0.023,-0.918,0.051
463,-0.012,-0.938,0.074
464,0.023,-0.938,0.121
465,0.023,-0.930,0.105
466,0.000,-0.945,0.031
467,-0.016,-0.980,-0.031
468,0.012,-0.984,-0.016
469,0.039,-0.969,0.000
470,0.004,-0.938,-0.043
471,-0.039,-0.922,-0.090
472,-0.020,-0.922,-0.074
473,0.016,-0.934,-0.047
474,0.012,-0.938,-0.035
475,0.012,-0.953,-0.016
476,0.004,-0.934,0.016
477,0.020,-0.914,0.078
478,0.047,-0.922,0.102
479,0.023,-0.949,0.051
480,0.000,-0.977,0.043
481,0.008,-0.945,0.020
482,-0.004,-0.945,-0.020
483,-0.016,-0.930,0.062
484,0.004,-0.941,0.078
485,-0.008,-0.949,0.051
486,-0.020,-0.945,0.004
487,-0.031,-0.949,-0.023
488,-0.035,-0.949,-0.043
489,-0.020,-0.938,-0.031
490,0.004,-0.934,0.000
491,0.000,-0.941,0.012
492,-0.008,-0.941,0.000
493,0.000,-0.938,0.004
494,0.012,-0.941,0.020
495,0.027,-0.945,0.023
496,0.012,-0.941,0.027
497,-0.008,-0.938,0.016
498,-0.008,-0.938,0.020
499,-0.008,-0.930,0.059
500,0.027,-0.938,0.098
501,0.023,-0.953,0.074
502,-0.004,-0.949,0.047
503,-0.020,-0.941,0.023
504,0.004,-0.945,0.043
505,-0.039,-0.934,-0.008
506,-0.043,-0.980,-0.043
507,-0.027,-0.961,-0.020
508,-0.039,-0.930,-0.020
509,0.004,-0.934,0.020
510,0.004,-0.949,0.039
511,-0.008,-0.941,0.023
512,-0.020,-0.934,0.023
513,-0.016,-0.926,0.012
514,-0.008,-0.941,0.020
515,-0.004,-0.941,0.027
516,-0.012,-0.910,0.047
517,-0.004,-0.922,0.055
518,0.012,-0.945,0.055
519,0.020,-0.957,0.066
520,0.008,-0.945,0.055
521,0.004,-0.938,0.047
522,-0.004,-0.949,0.016
523,-0.008,-0.961,-0.004
524,-0.023,-0.945,0.004
525,-0.016,-0.934,0.027
526,-0.004,-0.941,0.047
527,-0.004,-0.973,0.023
528,0.004,-0.945,0.031
529,-0.039,-0.941,-0.039
530,0.004,-0.957,0.039
531,-0.008,-0.953,-0.004
532,-0.023,-0.949,0.016
533,-0.039,-0.910,0.016
534,-0.027,-0.930,0.047
535,0.004,-0.938,0.082
536,0.008,-0.957,0.062
537,0.008,-0.941,0.047
538,-0.004,-0.934,0.023
539,-0.004,-0.969,0.016
540,0.008,-0.945,0.016
541,0.000,-0.949,0.016
542,0.004,-0.941,0.020
543,0.008,-0.945,0.031
544,0.004,-0.945,0.027
545,0.000,-0.934,0.035
546,0.000,-0.938,0.027
547,0.008,-0.957,0.012
548,-0.004,-0.957,0.004
549,-0.031,-0.941,-0.020
550,-0.023,-0.922,0.020
551,0.000,-0.934,0.051
552,0.031,-0.957,0.074
553,-0.016,-0.941,0.098
554,-0.031,-0.938,0.008
555,-0.012,-0.938,0.074
556,-0.027,-0.941,0.051
557,-0.027,-0.941,0.012
558,-0.020,-0.941,0.012
559,-0.027,-0.938,-0.004
560,-0.008,-0.938,0.035
561,0.012,-0.953,0.031
562,0.023,-0.953,0.039
563,0.000,-0.930,0.031
564,0.000,-0.941,-0.008
565,0.004,-0.957,-0.016
566,0.008,-0.949,-0.016
567,-0.016,-0.938,-0.012
568,0.004,-0.926,0.020
569,0.016,-0.938,0.051
570,0.008,-0.949,0.039
571,0.000,-0.941,0.031
572,0.000,-0.934,0.031
573,0.004,-0.941,0.016
574,0.004,-0.938,0.008
575,-0.016,-0.957,-0.016
576,-0.016,-0.941,0.035
577,-0.012,-0.926,0.016
578,-0.012,-0.926,0.016
579,-0.020,-0.941,0.047
580,-0.016,-0.934,0.035
581,-0.023,-0.945,0.000
582,0.004,-0.938,0.023
583,0.000,-0.930,-0.008
584,-0.012,-0.949,-0.020
585,-0.004,-0.945,-0.012
586,-0.012,-0.949,-0.023
587,0.008,-0.941,0.012
588,0.016,-0.941,0.039
589,0.020,-0.949,0.031
590,0.023,-0.949,0.027
591,0.008,-0.945,0.004
592,-0.004,-0.953,-0.008
593,0.012,-0.945,0.000
594,-0.004,-0.945,0.000
595,0.000,-0.941,0.012
596,0.000,-0.922,0.012
597,0.004,-0.949,0.012
598,0.008,-0.949,0.039
599,-0.004,-0.949,0.000
600,-0.004,-0.930,0.000
601,-0.004,-0.938,-0.008
602,-0.012,-0.957,-0.008
603,-0.023,-0.930,-0.004
604,0.000,-0.918,0.008
605,-0.012,-0.953,0.043
606,0.035,-0.953,-0.035
607,0.004,-0.945,0.008
608,0.008,-0.938,0.012
609,0.012,-0.938,0.000
610,0.012,-0.949,-0.012
611,0.004,-0.941,-0.016
612,0.000,-0.941,-0.004
613,0.012,-0.930,0.020
614,0.020,-0.945,0.035
615,0.023,-0.953,0.012
616,0.008,-0.945,0.004
617,-0.012,-0.938,-0.031
618,-0.004,-0.941,-0.016
619,0.004,-0.938,-0.020
620,-0.004,-0.949,-0.023
621,-0.020,-0.938,0.000
622,-0.016,-0.941,-0.008
623,0.008,-0.941,0.012
624,0.047,-0.957,0.051
